#Years_To_Simulate: 10 								
Year	region1	region2	region3	region4	region5	region6	region7	region8
2002	516	3549	1981	5714	1084	1175	6949	3275
2003	516	3549	1981	5714	1084	1175	6949	3275
2004	516	3549	1981	5714	1084	1175	6949	3275
2005	516	3549	1981	5714	1084	1175	6949	3275
2006	516	3549	1981	5714	1084	1175	6949	3275
2007	100	2217	849	1467	885	623	3989	2643
2008	100	2217	849	1467	885	623	3989	2643
2009	100	2217	849	1467	885	623	3989	2643
2010	100	2217	849	1467	885	623	3989	2643
2011	100	2217	849	1467	885	623	3989	2643
2012	0	0	0	0	0	0	0	0
2013	0	0	0	0	0	0	0	0
2014	0	0	0	0	0	0	0	0
2015	0	0	0	0	0	0	0	0
2016	0	0	0	0	0	0	0	0
2017	0	0	0	0	0	0	0	0
2018	0	0	0	0	0	0	0	0
2019	0	0	0	0	0	0	0	0
2020	0	0	0	0	0	0	0	0
2021	0	0	0	0	0	0	0	0
2022	0	0	0	0	0	0	0	0
2023	0	0	0	0	0	0	0	0
2024	0	0	0	0	0	0	0	0
2025	0	0	0	0	0	0	0	0
2026	0	0	0	0	0	0	0	0
2027	0	0	0	0	0	0	0	0
2028	0	0	0	0	0	0	0	0
2029	0	0	0	0	0	0	0	0
2030	0	0	0	0	0	0	0	0

